ApplicationId,DisplayName,Publisher,Platform,AppVersion,FailedDevices,InstalledDevices,TotalTargeted,FailureRatePct
app-1000,Company Portal,Microsoft,Windows,7.8.13,10,434,448,2.2
app-1001,Microsoft 365 Apps,Microsoft,Android,3.7.61,142,259,401,35.4
app-1002,Google Chrome,Google,Windows,17.8.43,80,247,337,23.7
app-1003,Zoom,Zoom,Windows,10.2.87,88,165,260,33.8
app-1004,7-Zip,Igor Pavlov,Windows,4.7.38,76,242,320,23.8
app-1005,Adobe Acrobat,Adobe,Windows,11.7.82,1,76,85,1.2
app-1006,Slack,Salesforce,macOS,6.1.33,164,284,449,36.5
app-1007,Notepad++,Notepad++,iOS,6.9.88,79,356,439,18.0
app-1008,VLC,VideoLAN,iOS,14.6.96,7,155,168,4.2
app-1009,PowerBI Desktop,Microsoft,Windows,16.3.49,120,183,310,38.7
app-1010,Citrix Workspace,Citrix,iOS,16.3.29,1,77,80,1.2
app-1011,FortiClient,Fortinet,macOS,14.5.59,19,133,160,11.9
app-1012,Company Portal,Microsoft,iOS,9.1.42,3,218,231,1.3
app-1013,Microsoft 365 Apps,Microsoft,iOS,18.9.79,1,90,95,1.1
app-1014,Google Chrome,Google,iOS,11.1.35,198,317,515,38.4
app-1015,Zoom,Zoom,Windows,2.1.90,124,450,575,21.6
app-1016,7-Zip,Igor Pavlov,macOS,8.4.25,30,53,91,33.0
app-1017,Adobe Acrobat,Adobe,macOS,11.6.8,61,345,412,14.8
app-1018,Slack,Salesforce,iOS,17.8.53,22,67,93,23.7
app-1019,Notepad++,Notepad++,Windows,3.1.54,60,389,456,13.2
app-1020,VLC,VideoLAN,Android,18.8.32,175,346,527,33.2
app-1021,PowerBI Desktop,Microsoft,macOS,17.1.24,107,487,594,18.0
app-1022,Citrix Workspace,Citrix,Windows,6.8.34,39,57,98,39.8
app-1023,FortiClient,Fortinet,macOS,2.0.58,68,288,366,18.6
app-1024,Company Portal,Microsoft,Windows,7.4.7,27,448,482,5.6
app-1025,Microsoft 365 Apps,Microsoft,macOS,15.9.56,0,108,112,0.0
app-1026,Google Chrome,Google,Windows,8.6.83,127,339,475,26.7
app-1027,Zoom,Zoom,Windows,19.2.31,11,446,458,2.4
app-1028,7-Zip,Igor Pavlov,Windows,13.1.95,103,422,525,19.6
app-1029,Adobe Acrobat,Adobe,Android,7.3.94,158,360,519,30.4
app-1030,Slack,Salesforce,Android,10.0.28,30,328,363,8.3
app-1031,Notepad++,Notepad++,macOS,9.0.11,102,355,460,22.2
app-1032,VLC,VideoLAN,iOS,14.3.57,53,441,499,10.6
app-1033,PowerBI Desktop,Microsoft,Android,1.6.38,54,300,363,14.9
app-1034,Citrix Workspace,Citrix,macOS,18.7.84,29,95,131,22.1
app-1035,FortiClient,Fortinet,Android,3.3.37,204,346,556,36.7
