DeviceName,ReportType,RecommendedAction,ActionOwner,Manufacturer,ComplianceState,OwnerType,LastSyncDaysAgo,IsInactive,SnapshotDate
WIN-ES-1000,Assigned,None,None,Lenovo,Not evaluated,company,7,false,2026-07-15
WIN-SE-1001,Assigned,Remove orphaned record,Identity,Dell Inc.,Compliant,company,44,true,2026-07-15
WIN-DE-1002,Assigned,Rotate BitLocker key,Identity,HP,Compliant,personal,125,true,2026-07-15
WIN-IN-1003,Assigned,None,None,Lenovo,Compliant,personal,9,false,2026-07-15
WIN-IN-1004,Assigned,None,None,Dell Inc.,Noncompliant,company,0,false,2026-07-15
WIN-DE-1005,Assigned,None,None,Dell Inc.,Noncompliant,personal,13,false,2026-07-15
WIN-DE-1006,Assigned,Remove orphaned record,Identity,Lenovo,Compliant,personal,9,false,2026-07-15
WIN-NL-1007,Assigned,None,None,Lenovo,Compliant,company,9,false,2026-07-15
WIN-DE-1008,Orphaned,Retire (stale),Security,HP,Compliant,personal,8,false,2026-07-15
WIN-ES-1009,Assigned,None,None,Dell Inc.,Noncompliant,company,5,false,2026-07-15
WIN-IN-1010,Assigned,Retire (stale),Service Desk,HP,Compliant,personal,4,false,2026-07-15
WIN-SE-1011,Assigned,None,None,HP,Not evaluated,company,8,false,2026-07-15
WIN-NL-1012,Assigned,None,None,HP,Compliant,personal,13,false,2026-07-15
WIN-CA-1013,Assigned,Rotate BitLocker key,Security,Lenovo,Compliant,personal,8,false,2026-07-15
WIN-FI-1014,Assigned,None,None,Lenovo,Compliant,personal,0,false,2026-07-15
WIN-NL-1015,Assigned,Retire (stale),EUC Ops,Microsoft Corporation,Compliant,personal,41,true,2026-07-15
WIN-ES-1016,Orphaned,Rotate BitLocker key,Identity,HP,Compliant,personal,5,false,2026-07-15
WIN-IN-1017,Assigned,None,None,Lenovo,Compliant,company,13,false,2026-07-15
WIN-NL-1018,Assigned,Review compliance,Service Desk,Microsoft Corporation,Compliant,company,63,true,2026-07-15
WIN-DE-1019,Assigned,Retire (stale),Security,Lenovo,Compliant,personal,77,true,2026-07-15
WIN-FI-1020,Assigned,Re-enroll,Identity,Lenovo,Compliant,company,11,false,2026-07-15
WIN-FI-1021,Assigned,None,None,Apple,Not evaluated,personal,7,false,2026-07-15
WIN-DE-1022,Assigned,None,None,Dell Inc.,Compliant,company,13,false,2026-07-15
WIN-DE-1023,Assigned,Remove orphaned record,Service Desk,Microsoft Corporation,Noncompliant,company,3,false,2026-07-15
WIN-US-1024,Assigned,Remove orphaned record,EUC Ops,HP,Compliant,company,12,false,2026-07-15
WIN-DE-1025,Assigned,None,None,Microsoft Corporation,Compliant,company,4,false,2026-07-15
WIN-NL-1026,Orphaned,Review compliance,EUC Ops,Dell Inc.,Compliant,company,2,false,2026-07-15
WIN-FI-1027,Assigned,None,None,Lenovo,Compliant,company,9,false,2026-07-15
WIN-DE-1028,Assigned,None,None,Apple,Compliant,personal,11,false,2026-07-15
WIN-ES-1029,Assigned,None,None,HP,Compliant,personal,14,false,2026-07-15
WIN-FI-1030,Assigned,Rotate BitLocker key,Security,Dell Inc.,Noncompliant,company,41,true,2026-07-15
