PolicyName,PolicyType,Intent,TargetType,TargetGroupName,IsDynamicGroup,TargetGroupStatus,SnapshotDate
Settings Catalog - Eng,Settings Catalog,Exclude,Group,grp-kiosk-13,false,Active,2026-07-15
Windows Update Ring - Eng,Windows Update Ring,Include,Group,grp-sales-10,false,Active,2026-07-15
DeviceConfiguration - Standard,DeviceConfiguration,Include,All Devices,All Devices,false,Active,2026-07-15
Endpoint Security - Exec,Endpoint Security,Include,Group,grp-kiosk-5,true,Active,2026-07-15
DeviceCompliance - Corp,DeviceCompliance,Include,Group,grp-eng-38,true,Active,2026-07-15
App (Win32) - Standard,App (Win32),Include,Group,grp-sales-27,true,Active,2026-07-15
DeviceConfiguration - Sales,DeviceConfiguration,Include,Group,grp-kiosk-7,false,Active,2026-07-15
Endpoint Security - Corp,Endpoint Security,Include,All Devices,All Devices,false,Active,2026-07-15
DeviceCompliance - Eng,DeviceCompliance,Include,Group,grp-eng-26,false,Active,2026-07-15
Endpoint Security - Corp,Endpoint Security,Include,Group,grp-sales-22,false,Active,2026-07-15
DeviceCompliance - Exec,DeviceCompliance,Include,Group,grp-corp-30,true,Active,2026-07-15
Settings Catalog - Pilot,Settings Catalog,Include,Group,grp-pilot-27,false,(deleted group),2026-07-15
Endpoint Security - Corp,Endpoint Security,Exclude,Group,grp-kiosk-20,true,Active,2026-07-15
DeviceCompliance - Pilot,DeviceCompliance,Exclude,Group,grp-corp-10,false,Active,2026-07-15
App (Win32) - Exec,App (Win32),Include,Group,grp-corp-5,true,Active,2026-07-15
DeviceConfiguration - Pilot,DeviceConfiguration,Include,Group,grp-eng-9,false,Active,2026-07-15
Settings Catalog - Eng,Settings Catalog,Exclude,Group,grp-pilot-40,true,Active,2026-07-15
App (Win32) - Sales,App (Win32),Include,Group,grp-eng-31,false,Active,2026-07-15
DeviceConfiguration - Exec,DeviceConfiguration,Include,Group,grp-eng-17,false,Active,2026-07-15
Endpoint Security - Eng,Endpoint Security,Include,All Devices,All Devices,false,Active,2026-07-15
Windows Update Ring - Sales,Windows Update Ring,Include,All Users,All Users,false,Active,2026-07-15
Settings Catalog - Standard,Settings Catalog,Include,Group,grp-pilot-2,true,Active,2026-07-15
DeviceConfiguration - Kiosk,DeviceConfiguration,Include,Group,grp-kiosk-37,true,Active,2026-07-15
Windows Update Ring - Corp,Windows Update Ring,Exclude,Group,grp-kiosk-38,false,Active,2026-07-15
Windows Update Ring - Standard,Windows Update Ring,Include,Group,grp-corp-2,false,Active,2026-07-15
DeviceConfiguration - Exec,DeviceConfiguration,Include,Group,grp-eng-35,true,Active,2026-07-15
Autopilot Profile - Sales,Autopilot Profile,Exclude,Group,grp-sales-23,false,Active,2026-07-15
DeviceConfiguration - Sales,DeviceConfiguration,Include,Group,grp-corp-32,false,(missing target),2026-07-15
DeviceCompliance - Standard,DeviceCompliance,Include,Group,grp-corp-8,true,Active,2026-07-15
App (Store) - Exec,App (Store),Include,Group,grp-eng-30,false,Active,2026-07-15
DeviceConfiguration - Standard,DeviceConfiguration,Include,Group,grp-pilot-8,false,Active,2026-07-15
Settings Catalog - Eng,Settings Catalog,Exclude,Group,grp-sales-10,true,Active,2026-07-15
App (Win32) - Standard,App (Win32),Exclude,Group,grp-pilot-21,false,Active,2026-07-15
Endpoint Security - Sales,Endpoint Security,Include,Group,grp-pilot-14,false,Active,2026-07-15
Endpoint Security - Pilot,Endpoint Security,Include,Group,grp-corp-5,true,Active,2026-07-15
App (Store) - Eng,App (Store),Include,Group,grp-eng-25,true,Active,2026-07-15
Settings Catalog - Sales,Settings Catalog,Include,Group,grp-corp-3,false,Active,2026-07-15
App (Store) - Eng,App (Store),Include,Group,grp-kiosk-2,true,Active,2026-07-15
Windows Update Ring - Exec,Windows Update Ring,Include,Group,grp-pilot-4,false,Active,2026-07-15
DeviceConfiguration - Exec,DeviceConfiguration,Include,Group,grp-corp-13,false,Active,2026-07-15
App (Win32) - Eng,App (Win32),Include,Group,grp-corp-12,true,Active,2026-07-15
App (Win32) - Kiosk,App (Win32),Include,Group,grp-pilot-26,false,Active,2026-07-15
App (Win32) - Corp,App (Win32),Exclude,Group,grp-pilot-1,false,Active,2026-07-15
Endpoint Security - Standard,Endpoint Security,Exclude,Group,grp-eng-21,false,(missing target),2026-07-15
App (Win32) - Corp,App (Win32),Include,Group,grp-pilot-16,false,Active,2026-07-15
Endpoint Security - Corp,Endpoint Security,Include,All Users,All Users,false,Active,2026-07-15
App (Store) - Sales,App (Store),Include,All Devices,All Devices,false,Active,2026-07-15
DeviceConfiguration - Corp,DeviceConfiguration,Include,Group,grp-corp-14,false,Active,2026-07-15
